experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__direct_jump_s64_i2_h40_c20_sig006_guided075__metrics__f1c390b1,spider,jump,g1_wbc_joint_global,v14_control,,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/direct_jump_s64_i2_h40_c20_sig006_guided075/metrics.json,,,,,artifacts#low_latency_tuning_20260619__direct_jump_s64_i2_h40_c20_sig006_guided075__metrics__f1c390b1,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_i1_sample__jump__jump_s128_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__ac9419f9,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_i1_sample/jump/jump_s128_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_i1_sample__jump__jump_s128_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__ac9419f9,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_i1_sample__jump__jump_s256_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__62bfe531,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_i1_sample/jump/jump_s256_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_i1_sample__jump__jump_s256_i1_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__62bfe531,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__fb21caed,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_sigma_sample/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__fb21caed,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s128_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0__metrics__48dfd5c6,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_sigma_sample/jump/jump_s128_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s128_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0__metrics__48dfd5c6,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__27b26cdc,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_sigma_sample/jump/jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s64_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__27b26cdc,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s64_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0__metrics__01b1e29c,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_h40_c20_sigma_sample/jump/jump_s64_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_h40_c20_sigma_sample__jump__jump_s64_i2_h40_c20_k8_sig0p06_0p14_0p22_seed0__metrics__01b1e29c,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_reg005_smooth0001_bestpoint__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__bb1185f2,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_reg005_smooth0001_bestpoint/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_reg005_smooth0001_bestpoint__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__bb1185f2,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_s256_i2_h40_c20_quality_probe__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__70a30e5c,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_s256_i2_h40_c20_quality_probe/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_s256_i2_h40_c20_quality_probe__jump__jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__70a30e5c,
2026-06-22-best-s128-low-sample-milestone-wjs,low_latency_tuning_20260619__full_jump_s32_i1_h40_c40_k8__jump__jump_s32_i1_h40_c40_k8_sig0p08_0p18_0p28_seed0__metrics__9ba30f67,spider,jump,g1_wbc_joint_global,v14_control,0,complete,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/outputs/g1_wbc_low_latency_tuning_20260619/full_jump_s32_i1_h40_c40_k8/jump/jump_s32_i1_h40_c40_k8_sig0p08_0p18_0p28_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#low_latency_tuning_20260619__full_jump_s32_i1_h40_c40_k8__jump__jump_s32_i1_h40_c40_k8_sig0p08_0p18_0p28_seed0__metrics__9ba30f67,
