candidate,motion,status,passed,failure_labels,improved_local_count,global_guardrail_passed,smooth_guardrail_passed,contact_guardrail_passed,score_guardrail_passed,local_guardrail_passed,mpc_guardrail_passed,runtime_guardrail_passed,summary_csv
jg_s128_v14_control,jump,failed,false,local_improvement_guardrail,1,true,true,true,true,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_v14_control/summary.csv
jg_s128_L125_posture,jump,failed,false,"global_guardrail,local_improvement_guardrail",0,false,true,true,true,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L125_posture/summary.csv
jg_s128_L150_posture,jump,failed,false,"smooth_guardrail,contact_guardrail,local_improvement_guardrail",1,true,false,false,true,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_posture/summary.csv
jg_s128_L150_smooth,jump,failed,false,"score_guardrail,global_guardrail,contact_guardrail,local_improvement_guardrail",0,false,true,false,false,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_smooth/summary.csv
jg_s128_L150_global090,jump,failed,false,"score_guardrail,global_guardrail,smooth_guardrail,contact_guardrail,local_improvement_guardrail",0,false,false,false,false,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_global090/summary.csv
jg_s128_L150_contact,jump,failed,false,"smooth_guardrail,contact_guardrail,local_improvement_guardrail",0,true,false,false,true,false,true,true,/tmp/g1_wbc_local_first_stage_gpu_20260622/candidates/jg_s128_L150_contact/summary.csv
