experiment_id,run_id,source_project,motion,method,checkpoint,config_label,seed,status,success,score,root_pos_error_mean,body_global_pos_error_mean,ee_global_pos_error_mean,global_sum,body_local_pos_error_mean,ee_local_pos_error_mean,local_sum,contact_mismatch_rate,control_delta_mean,joint_acc_mean,duration_sec,artifact_ref,notes
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__jump__metrics__ba36ac3e,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8,,complete,false,-2.3947564281523226,0.09253015369176865,0.09992639720439911,0.11008524894714355,0.3025417998,0.028071297332644463,0.04429916664958,0.07237046398,0.36812499165534973,0.45927783846855164,226.1844482421875,,artifacts#l145_visual_review_20260622__jump__metrics__ba36ac3e,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__jump_repeat1__metrics__74ae1c25,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8,,complete,false,-2.7792609483003616,0.1817106455564499,0.18859505653381348,0.19555899500846863,0.5658646971,0.03028983809053898,0.0480220653116703,0.0783119034,0.36249998211860657,0.4723314940929413,235.44503784179688,,artifacts#l145_visual_review_20260622__jump_repeat1__metrics__74ae1c25,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__qixing__metrics__368d5b55,spider,qixing,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8,,complete,true,-1.5122921746224165,0.059800002723932266,0.0662117451429367,0.07226455956697464,0.1982763074,0.029365355148911476,0.046654894948005676,0.0760202501,0.2162500023841858,0.23331522941589355,94.26228332519531,,artifacts#l145_visual_review_20260622__qixing__metrics__368d5b55,success
2026-06-22-local-frontier-diagnostics-wjs,l145_visual_review_20260622__walk__metrics__3cbf70b5,spider,walk,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8,,complete,true,-1.1314215391874314,0.06252563744783401,0.06715738028287888,0.06895115226507187,0.19863417,0.02250630408525467,0.03495660424232483,0.05746290833,0.13499999046325684,0.2343895137310028,112.3175277709961,,artifacts#l145_visual_review_20260622__walk__metrics__3cbf70b5,success
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L125_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__4224e46c,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,true,-2.3081606052815915,0.09570836275815964,0.10231097787618637,0.1083352267742157,0.3063545674,0.03019300289452076,0.04684096574783325,0.07703396864,0.34312498569488525,0.46933767199516296,225.9939727783203,124.785,artifacts#local_first_stage_20260622__candidates__jg_s128_L125_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__4224e46c,success
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_contact__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d009b7a3,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,false,-2.2274681106209755,0.06814456731081009,0.074753537774086,0.08115096390247345,0.224049069,0.02896691858768463,0.04461781308054924,0.07358473167,0.3543750047683716,0.49344614148139954,235.2498321533203,120.008,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_contact__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d009b7a3,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_global090__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__5041e11a,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,false,-2.5999584600329397,0.13921047747135162,0.14631016552448273,0.15403342247009277,0.4395540655,0.02915915474295616,0.04501144960522652,0.07417060435,0.36812499165534973,0.47584405541419983,228.9895782470703,118.243,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_global090__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__5041e11a,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__1e7ab61d,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,false,-2.2901923835277556,0.0757298618555069,0.08305095136165619,0.09119263291358948,0.2499734461,0.02766118012368679,0.04321352392435074,0.07087470405,0.3662499785423279,0.47197049856185913,230.53326416015625,119.426,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__1e7ab61d,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_L150_smooth__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__9b43b7e6,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,false,-2.396135851740837,0.09681782126426697,0.1035868227481842,0.11149770021438599,0.3119023442,0.02784380502998829,0.044038236141204834,0.07188204117,0.3662499785423279,0.4601207375526428,220.35073852539062,124.071,artifacts#local_first_stage_20260622__candidates__jg_s128_L150_smooth__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__9b43b7e6,metric_failure
2026-06-22-local-frontier-diagnostics-wjs,local_first_stage_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__480b749b,spider,jump,g1_wbc_joint_global,bc,s128_i2_h40_c20_k8_seed0,0,complete,true,-2.1654314532876016,0.06281077861785889,0.07114037871360779,0.07920008897781372,0.2131512463,0.027732999995350838,0.04333730414509773,0.07107030414,0.3462499976158142,0.45223918557167053,219.4576873779297,133.982,artifacts#local_first_stage_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__480b749b,success
