experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_L140_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d6dc90ea,spider,jump,g1_wbc_joint_global,jg_s128_L140_contact015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_contact015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_L140_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__d6dc90ea,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_L140_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__61064ada,spider,jump,g1_wbc_joint_global,jg_s128_L140_posture,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_posture/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_L140_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__61064ada,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_L140_smooth015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__0e1f865a,spider,jump,g1_wbc_joint_global,jg_s128_L140_smooth015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L140_smooth015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_L140_smooth015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__0e1f865a,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_L145_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__243f1038,spider,jump,g1_wbc_joint_global,jg_s128_L145_posture,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L145_posture/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_L145_posture__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__243f1038,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_L145_smooth015_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__018025f6,spider,jump,g1_wbc_joint_global,jg_s128_L145_smooth015_contact015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_L145_smooth015_contact015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_L145_smooth015_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__018025f6,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_v14_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__b7526cf5,spider,jump,g1_wbc_joint_global,jg_s128_v14_contact015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_contact015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_v14_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__b7526cf5,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__ba4ab33c,spider,jump,g1_wbc_joint_global,jg_s128_v14_control,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_control/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_v14_control__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__ba4ab33c,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_v14_smooth015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__72e72fc5,spider,jump,g1_wbc_joint_global,jg_s128_v14_smooth015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_v14_smooth015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__72e72fc5,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_v14_smooth015_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__239b0f9a,spider,jump,g1_wbc_joint_global,jg_s128_v14_smooth015_contact015,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth015_contact015/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_v14_smooth015_contact015__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__239b0f9a,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_middle_gate_20260622__candidates__jg_s128_v14_smooth025__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__8cc57fb0,spider,jump,g1_wbc_joint_global,jg_s128_v14_smooth025,0,complete,/tmp/g1_wbc_local_middle_gate_gpu_20260622/candidates/jg_s128_v14_smooth025/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_middle_gate_20260622__candidates__jg_s128_v14_smooth025__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__8cc57fb0,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_recovery_20260622__candidates__jg_s128_L142_smooth005_contact010__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__140843d3,spider,jump,g1_wbc_joint_global,jg_s128_L142_smooth005_contact010,0,complete,/tmp/g1_wbc_local_recovery_gpu_20260622_cuda/candidates/jg_s128_L142_smooth005_contact010/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_recovery_20260622__candidates__jg_s128_L142_smooth005_contact010__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__140843d3,local-frontier diagnostic stage
2026-06-22-local-frontier-diagnostics-wjs,local_recovery_20260622__candidates__jg_s128_L145_smooth010_contact010__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__7a44c5c1,spider,jump,g1_wbc_joint_global,jg_s128_L145_smooth010_contact010,0,complete,/tmp/g1_wbc_local_recovery_gpu_20260622_cuda/candidates/jg_s128_L145_smooth010_contact010/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,,configs/source_commands.csv,,,artifacts#local_recovery_20260622__candidates__jg_s128_L145_smooth010_contact010__jump__jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0__metrics__7a44c5c1,local-frontier diagnostic stage
