motion_id,category,method,baseline_score,mpc_score,score_delta,score_status,failure_labels
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,sweetpoint,-4.584869635,-2.426356643,2.158512992,improved,stability_regression
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,best_s128,-4.209617716,-2.150180511,2.059437205,improved,stability_regression
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,sweetpoint,-4.209617716,-1.770159497,2.439458219,improved,stability_regression
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,best_s128,-0.4186787017,-0.4155541316,0.003124570101,improved,stability_regression
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,sweetpoint,-0.4186787017,-0.3965936609,0.02208504081,improved,stability_regression
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,best_s128,-0.9322120879,-0.938898512,-0.006686424091,regressed,baseline_regression|stability_regression
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,sweetpoint,-0.9322120879,-0.8788343539,0.05337773394,improved,stability_regression
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,best_s128,-0.7707982343,-0.5547337448,0.2160644894,improved,stability_regression
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,sweetpoint,-0.7707982343,-0.5028694887,0.2679287456,improved,stability_regression
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,best_s128,-2.992864713,-2.260725835,0.7321388785,improved,stability_regression
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,sweetpoint,-2.992864713,-2.275128943,0.7177357707,improved,stability_regression
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,best_s128,-2.332862759,-3.787796147,-1.454933389,regressed,baseline_regression|stability_regression
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,sweetpoint,-2.332862759,-2.155087965,0.1777747937,improved,stability_regression
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,best_s128,-1.310250769,-1.007846643,0.3024041258,improved,stability_regression
phone_social_scene__sonic_filtered_230713__cellphone_record_sequence_fast_r_001_a428,phone_social_scene,sweetpoint,-1.310250769,-0.6313009985,0.6789497703,improved,stability_regression
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,best_s128,-0.5887335256,-0.536804961,0.05192856453,improved,stability_regression
animal_insect_interaction__sonic_filtered_231110__big_fish_catch_r_002_a500,animal_insect_interaction,sweetpoint,-0.5887335256,-0.5140771225,0.07465640306,improved,stability_regression
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,best_s128,-0.3171019947,-0.3104135657,0.006688429043,improved,stability_regression
other_or_uncategorized__sonic_filtered_231117__rom_box_01_box_02_box_03_box_04_002_a520,other_or_uncategorized,sweetpoint,-0.3171019947,-0.2989436604,0.01815833431,improved,stability_regression
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,best_s128,-5.811378635,-3.842092201,1.969286434,improved,stability_regression
other_or_uncategorized__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_cmu_06_06_13_poses_motion_seg2__motion,other_or_uncategorized,sweetpoint,-5.811378635,-2.613053404,3.198325232,improved,stability_regression
