motion_id,category,method,track_status,success_current,score,failure_labels,missing_metrics
gesture_emotion_social__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_accad_female1gestures_c3d_d3_conversation_gestures_poses_motion_seg2__motion,gesture_emotion_social,sweetpoint,tracked,true,-0.5007091988,stability_regression,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,no_mpc_baseline,tracked,true,-0.3974247813,,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,best_s128,tracked,true,-0.4022281058,baseline_regression|stability_regression,
self_touch_discomfort__sonic_filtered_221010__chefs_kiss_r_001_a045,self_touch_discomfort,sweetpoint,tracked,true,-0.3834242973,stability_regression,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,no_mpc_baseline,tracked,true,-1.0273348,,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,best_s128,tracked,true,-0.8071871046,stability_regression,
object_interaction_daily__sonic_filtered_231005__avoid_bump_push_r_003_a460,object_interaction_daily,sweetpoint,tracked,true,-0.7467347596,stability_regression,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,no_mpc_baseline,tracked,true,-0.8082873195,,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,best_s128,tracked,true,-0.6592364624,stability_regression,
tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,tool_work_operation,sweetpoint,tracked,true,-0.7398749858,stability_regression,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,no_mpc_baseline,failed,true,-1.61351765,ee_global_tracking_failure,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,best_s128,tracked,true,-1.056822599,stability_regression,
tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,tool_work_operation,sweetpoint,tracked,true,-0.878122085,stability_regression,
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,no_mpc_baseline,failed,true,-3.577680707,root_translation_drift|ee_global_tracking_failure,
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,best_s128,tracked,true,-1.359725656,stability_regression,
combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,combat_defense_threat,sweetpoint,tracked,true,-1.271689888,stability_regression,
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,no_mpc_baseline,failed,true,-4.584869635,root_translation_drift|ee_global_tracking_failure,
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,best_s128,failed,true,-2.992638919,ee_global_tracking_failure|stability_regression,
combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,combat_defense_threat,sweetpoint,borderline,true,-2.426356643,borderline|stability_regression,
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,no_mpc_baseline,failed,true,-4.209617716,root_translation_drift|ee_global_tracking_failure,
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,best_s128,tracked,true,-2.150180511,stability_regression,
sports_play__sonic_filtered_240327__play_tennis_r_002_a533,sports_play,sweetpoint,tracked,true,-1.770159497,stability_regression,
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,no_mpc_baseline,tracked,true,-0.4186787017,,
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,best_s128,tracked,true,-0.4155541316,stability_regression,
music_performance__sonic_filtered_231004__catch_playing_r_003_a456,music_performance,sweetpoint,tracked,true,-0.3965936609,stability_regression,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,no_mpc_baseline,tracked,true,-0.9322120879,,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,best_s128,tracked,true,-0.938898512,baseline_regression|stability_regression,
vehicle_riding__sonic_filtered_230509__ab_bicycle_001_a359,vehicle_riding,sweetpoint,tracked,true,-0.8788343539,stability_regression,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,no_mpc_baseline,tracked,true,-0.7707982343,,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,best_s128,tracked,true,-0.5547337448,stability_regression,
mechanical_operation__sonic_filtered_231115__door_knob_right_side_peep_r_001_a512,mechanical_operation,sweetpoint,tracked,true,-0.5028694887,stability_regression,
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,no_mpc_baseline,failed,true,-2.992864713,root_translation_drift|ee_global_tracking_failure,
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,best_s128,borderline,true,-2.260725835,borderline|stability_regression,
carrying_relocation__sonic_filtered_231120__big_heavy_one_hand_behind_high_to_behind_high_r_001_a524,carrying_relocation,sweetpoint,borderline,true,-2.275128943,borderline|stability_regression,
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,no_mpc_baseline,tracked,true,-2.332862759,,
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,best_s128,failed,true,-3.787796147,root_translation_drift|ee_global_tracking_failure|baseline_regression|stability_regression,
acrobatics_parkour__sonic_filtered_230509__burpee_001_a359,acrobatics_parkour,sweetpoint,tracked,true,-2.155087965,stability_regression,
