motion_name,samples,iterations,horizon,control,knot_count,root_pos_sigma,root_rot_sigma,joint_sigma,seed,status,exit_code,duration_sec,output_dir,metrics_path,reference_metrics_path,motion,method,checkpoint,device,max_steps,command,error,metric_num_steps,metric_score,metric_success,metric_root_pos_error_mean,metric_root_pos_error_max,metric_root_rot_error_mean,metric_joint_pos_error_mean,metric_joint_vel_error_mean,metric_body_global_pos_error_mean,metric_body_global_rot_error_mean,metric_body_local_pos_error_mean,metric_body_local_rot_error_mean,metric_ee_global_pos_error_mean,metric_ee_global_rot_error_mean,metric_ee_local_pos_error_mean,metric_ee_local_rot_error_mean,metric_hand_global_pos_error_mean,metric_hand_global_rot_error_mean,metric_hand_local_pos_error_mean,metric_hand_local_rot_error_mean,metric_contact_mismatch_rate,metric_contact_false_positive_rate,metric_contact_false_negative_rate,metric_contact_switch_rate,metric_reference_contact_switch_rate,metric_contact_force_active_mean,metric_contact_force_peak,metric_contact_force_excess_mean,metric_contact_force_delta_mean,metric_bad_floor_contact_rate,metric_bad_floor_force_mean,metric_bad_floor_force_excess_mean,metric_action_delta_mean,metric_control_delta_mean,metric_joint_acc_mean,metric_joint_jerk_mean,ref_score,delta_score,ref_root_pos_error_mean,delta_root_pos_error_mean,ref_body_global_pos_error_mean,delta_body_global_pos_error_mean,ref_ee_global_pos_error_mean,delta_ee_global_pos_error_mean,ref_ee_local_pos_error_mean,delta_ee_local_pos_error_mean,ref_contact_mismatch_rate,delta_contact_mismatch_rate,ref_control_delta_mean,delta_control_delta_mean,ref_joint_acc_mean,delta_joint_acc_mean,mpc_preset,mpc_num_samples,mpc_num_iterations,mpc_planning_horizon_steps,mpc_control_steps,mpc_sampling_mode,mpc_knot_count,mpc_use_warm_start,mpc_warm_start_source,mpc_warm_start_decay,mpc_elite_frac,mpc_temperature,mpc_root_pos_sigma,mpc_root_rot_sigma,mpc_joint_sigma,mpc_min_root_pos_sigma,mpc_min_root_rot_sigma,mpc_min_joint_sigma,mpc_sigma_decay,mpc_smooth_passes,mpc_command_reg_weight,mpc_command_smooth_weight,mpc_reward_weight_source,mpc_acceptance_gate,mpc_guided_candidate,mpc_final_scores_mean,mpc_final_scores_max,mpc_accepted,mpc_used_baseline_fallback,mpc_num_windows,mpc_accepted_windows,mpc_final_candidate_score,mpc_final_baseline_score,mpc_guided_joint_clip,mpc_guided_joint_gain,mpc_guided_root_pos_clip,mpc_guided_root_pos_gain,mpc_guided_root_rot_clip,mpc_guided_root_rot_gain
jump,128,2,40,20,8,0.04,0.1,0.18,0,ok,0,113.489,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz,g1_wbc_joint_global,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/wxy/0608_ckpt_bc/model_8000.pt,cuda:0,800,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/.venv/bin/python -m spider.tasks.g1_wbc.evaluate --motion /home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz --motion-type isaaclab --checkpoint bc --method g1_wbc_joint_global --max-steps 800 --device cuda:0 --output-dir outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s128_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0 --mpc-preset aggressive --mpc-sampling-mode knot --mpc-knot-count 8 --mpc-samples 128 --mpc-iterations 2 --mpc-planning-horizon-steps 40 --mpc-control-steps 20 --mpc-temperature 0.7 --mpc-root-pos-sigma 0.04 --mpc-root-rot-sigma 0.1 --mpc-joint-sigma 0.18 --mpc-smooth-passes 0 --mpc-command-reg-weight 0.0 --mpc-command-smooth-weight 0.0 --mpc-guided-root-pos-gain 0.50 --mpc-guided-root-rot-gain 0.50 --mpc-guided-joint-gain 0.50 --mpc-guided-root-pos-clip 0.05 --mpc-guided-root-rot-clip 0.12 --mpc-guided-joint-clip 0.35 --mpc-guided-candidate --mpc-acceptance-gate --mpc-reward-weights ../g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json --nconmax-per-env 512 --njmax-per-env 2048 --seed 0 --mpc-warm-start --mpc-warm-start-source best --mpc-warm-start-decay 1.0,,800.0,-2.120512270927429,True,0.05749326944351196,0.1669386327266693,0.10600027441978455,0.6509547829627991,6.319459438323975,0.06649202853441238,0.1713826060295105,0.028031159192323685,0.1634351760149002,0.07405977696180344,0.19795988500118256,0.04437241330742836,0.1998714655637741,0.06738071888685226,0.2510750889778137,0.04046943038702011,0.268699049949646,0.34562498331069946,0.3162499964237213,0.029374999925494194,0.05131414532661438,0.042553193867206573,78.0959243774414,591.7405395507812,0.0072797141037881374,0.14729638397693634,0.0,0.0,0.0,1.060476541519165,0.4496230483055115,226.9113006591797,279.8927001953125,-2.078044440969825,-0.04246782995760423,0.04248392954468727,0.015009339898824692,0.05304131656885147,0.013450711965560913,0.06079898029565811,0.013260796666145325,0.03966686874628067,0.00470554456114769,0.35499998927116394,-0.009375005960464478,0.3372446894645691,0.11237835884094238,191.8719940185547,35.039306640625,aggressive,128,2,40,20,knot,8,True,best,1.0,0.125,0.7,0.04,0.1,0.18,0.002,0.004,0.008,0.75,0,0.0,0.0,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json,True,True,-13.848978042602539,-11.311017036437988,True,False,40,40,-9.1116361618042,-110.24691772460938,0.35,0.5,0.05,0.5,0.12,0.5
jump,256,2,40,20,8,0.04,0.1,0.18,0,ok,0,138.468,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz,g1_wbc_joint_global,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/wxy/0608_ckpt_bc/model_8000.pt,cuda:0,800,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/.venv/bin/python -m spider.tasks.g1_wbc.evaluate --motion /home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz --motion-type isaaclab --checkpoint bc --method g1_wbc_joint_global --max-steps 800 --device cuda:0 --output-dir outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s256_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0 --mpc-preset aggressive --mpc-sampling-mode knot --mpc-knot-count 8 --mpc-samples 256 --mpc-iterations 2 --mpc-planning-horizon-steps 40 --mpc-control-steps 20 --mpc-temperature 0.7 --mpc-root-pos-sigma 0.04 --mpc-root-rot-sigma 0.1 --mpc-joint-sigma 0.18 --mpc-smooth-passes 0 --mpc-command-reg-weight 0.0 --mpc-command-smooth-weight 0.0 --mpc-guided-root-pos-gain 0.50 --mpc-guided-root-rot-gain 0.50 --mpc-guided-joint-gain 0.50 --mpc-guided-root-pos-clip 0.05 --mpc-guided-root-rot-clip 0.12 --mpc-guided-joint-clip 0.35 --mpc-guided-candidate --mpc-acceptance-gate --mpc-reward-weights ../g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json --nconmax-per-env 512 --njmax-per-env 2048 --seed 0 --mpc-warm-start --mpc-warm-start-source best --mpc-warm-start-decay 1.0,,800.0,-2.102446112036705,True,0.04838668555021286,0.12934187054634094,0.11271997541189194,0.653647780418396,6.365235328674316,0.05828848481178284,0.17850922048091888,0.027684122323989868,0.16499346494674683,0.06617579609155655,0.20578429102897644,0.04420280456542969,0.20245683193206787,0.06508267670869827,0.26904672384262085,0.04128260537981987,0.27101585268974304,0.34687498211860657,0.32249999046325684,0.02437499910593033,0.05632040277123451,0.042553193867206573,86.17176818847656,562.3419189453125,0.0066790953278541565,0.14829234778881073,0.0,0.0,0.0,1.0799108743667603,0.46040838956832886,228.39808654785156,284.0444030761719,-2.078044440969825,-0.02440167106687996,0.04248392954468727,0.005902756005525589,0.05304131656885147,0.005247168242931366,0.06079898029565811,0.0053768157958984375,0.03966686874628067,0.004535935819149017,0.35499998927116394,-0.008125007152557373,0.3372446894645691,0.12316370010375977,191.8719940185547,36.526092529296875,aggressive,256,2,40,20,knot,8,True,best,1.0,0.125,0.7,0.04,0.1,0.18,0.002,0.004,0.008,0.75,0,0.0,0.0,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json,True,True,-11.229937553405762,-8.709396362304688,True,False,40,40,-8.6972017288208,-110.9903564453125,0.35,0.5,0.05,0.5,0.12,0.5
jump,512,2,40,20,8,0.04,0.1,0.18,0,ok,0,198.325,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s512_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0,outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s512_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/outputs/spider/jump/g1_wbc_joint_global/metrics.json,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz,g1_wbc_joint_global,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/wxy/0608_ckpt_bc/model_8000.pt,cuda:0,800,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/spider/.venv/bin/python -m spider.tasks.g1_wbc.evaluate --motion /home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/input_motions/jump/motion.npz --motion-type isaaclab --checkpoint bc --method g1_wbc_joint_global --max-steps 800 --device cuda:0 --output-dir outputs/g1_wbc_mechanism_20260623/stage_c_mechanisms/warm_best/jump/jump_s512_i2_h40_c20_k8_sig0p04_0p1_0p18_seed0 --mpc-preset aggressive --mpc-sampling-mode knot --mpc-knot-count 8 --mpc-samples 512 --mpc-iterations 2 --mpc-planning-horizon-steps 40 --mpc-control-steps 20 --mpc-temperature 0.7 --mpc-root-pos-sigma 0.04 --mpc-root-rot-sigma 0.1 --mpc-joint-sigma 0.18 --mpc-smooth-passes 0 --mpc-command-reg-weight 0.0 --mpc-command-smooth-weight 0.0 --mpc-guided-root-pos-gain 0.50 --mpc-guided-root-rot-gain 0.50 --mpc-guided-joint-gain 0.50 --mpc-guided-root-pos-clip 0.05 --mpc-guided-root-rot-clip 0.12 --mpc-guided-joint-clip 0.35 --mpc-guided-candidate --mpc-acceptance-gate --mpc-reward-weights ../g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json --nconmax-per-env 512 --njmax-per-env 2048 --seed 0 --mpc-warm-start --mpc-warm-start-source best --mpc-warm-start-decay 1.0,,800.0,-2.126712217926979,True,0.0684804618358612,0.27132096886634827,0.10394708812236786,0.6741615533828735,6.342920780181885,0.07678425312042236,0.17820850014686584,0.030415086075663567,0.17495764791965485,0.08304049074649811,0.2087310403585434,0.04711536318063736,0.2144823670387268,0.07915835082530975,0.27439427375793457,0.04474571719765663,0.288533091545105,0.3356249928474426,0.31062498688697815,0.02499999850988388,0.047559451311826706,0.042553193867206573,81.95528411865234,607.4864501953125,0.008135480806231499,0.151666522026062,0.0,0.0,0.0,1.0781511068344116,0.4501304030418396,222.13490295410156,265.68426513671875,-2.078044440969825,-0.048667776957154185,0.04248392954468727,0.025996532291173935,0.05304131656885147,0.023742936551570892,0.06079898029565811,0.022241510450839996,0.03966686874628067,0.0074484944343566895,0.35499998927116394,-0.019374996423721313,0.3372446894645691,0.11288571357727051,191.8719940185547,30.262908935546875,aggressive,512,2,40,20,knot,8,True,best,1.0,0.125,0.7,0.04,0.1,0.18,0.002,0.004,0.008,0.75,0,0.0,0.0,/home/wujs/Projects/BrainStorm/Learning/RL/model-based/g1_wbc_testbed_motion_package_20260617/metadata/g1_wbc_reward_weights_method_specific_v14_20260612.json,True,True,-11.541662216186523,-8.592700958251953,True,False,40,40,-9.897258758544922,-111.98507690429688,0.35,0.5,0.05,0.5,0.12,0.5
