experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355__sweetpoint,spider,tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355,sweetpoint,sweetpoint,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__sonic_filtered_230427__axe_cutting_tree_horizontal_r_004_a355/sweetpoint.log,artifacts.md#sweetpoint,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion__no_mpc_baseline,spider,tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,no_mpc_baseline,no_mpc_baseline,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/no_mpc_baseline.log,artifacts.md#no_mpc_baseline,json_method=no_mpc;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion__best_s128,spider,tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,best_s128,best_s128,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/best_s128.log,artifacts.md#best_s128,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion__sweetpoint,spider,tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion,sweetpoint,sweetpoint,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/tool_work_operation__amass_lafan_qingtong_amass_filtered_0_05_40k_segmented_2k_origin_interp10_npz_kit_1347_experiment3_subject1347_wash_leg_position_smallcircles_02_poses_motion_seg2__motion/sweetpoint.log,artifacts.md#sweetpoint,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057__no_mpc_baseline,spider,combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,no_mpc_baseline,no_mpc_baseline,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/no_mpc_baseline.log,artifacts.md#no_mpc_baseline,json_method=no_mpc;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057__best_s128,spider,combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,best_s128,best_s128,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/best_s128.log,artifacts.md#best_s128,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057__sweetpoint,spider,combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057,sweetpoint,sweetpoint,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__sonic_filtered_211117__relaxed_kick_trash_001_a057/sweetpoint.log,artifacts.md#sweetpoint,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680__no_mpc_baseline,spider,combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,no_mpc_baseline,no_mpc_baseline,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/no_mpc_baseline/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/no_mpc_baseline.log,artifacts.md#no_mpc_baseline,json_method=no_mpc;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680__best_s128,spider,combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,best_s128,best_s128,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/best_s128/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/best_s128.log,artifacts.md#best_s128,json_method=g1_wbc_joint_global;raw artifacts external;no render
2026-06-25-bench-data-three-way-metrics-wjs,2026-06-25-bench-data-three-way-metrics-wjs__combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680__sweetpoint,spider,combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680,sweetpoint,sweetpoint,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/outputs/sweetpoint/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_bench_data_three_way_metrics_20260625/logs/eval/combat_defense_threat__amass_lafan_qingtong_lafan_qingtong__fight1_subject3_612_680/sweetpoint.log,artifacts.md#sweetpoint,json_method=g1_wbc_joint_global;raw artifacts external;no render
