experiment_id,run_id,source_project,motion,method,config_label,seed,status,metrics_source,rollout_source,command_source,video_source,log_source,artifact_ref,notes
2026-06-26-homejrhangmr-three-way-wjs,2026-06-26-homejrhangmr-three-way-wjs__homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion__no_mpc_baseline,spider,homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion,no_mpc_baseline,no_mpc_baseline,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/no_mpc/metrics.json,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/no_mpc/rollout.npz,commands.sh,,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/logs/no_mpc.log,artifacts.md#no-mpc-baseline,single_motion_full_length;seed0;no_render;json_method=no_mpc;raw artifacts external
2026-06-26-homejrhangmr-three-way-wjs,2026-06-26-homejrhangmr-three-way-wjs__homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion__sweetpoint,spider,homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion,sweetpoint,sweetpoint,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/sweetpoint/metrics.json,assets/results/2026-06-26-homejrhangmr-three-way-wjs/sweetpoint_rollout.npz,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/sweetpoint/mpc_command.npz,,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/logs/sweetpoint.log,artifacts.md#sweetpoint,single_motion_full_length;seed0;no_render;json_method=g1_wbc_joint_global;samples=512;horizon=40;control=20;raw artifacts external;versioned rollout asset in assets/results
2026-06-26-homejrhangmr-three-way-wjs,2026-06-26-homejrhangmr-three-way-wjs__homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion__n8192,spider,homejrhangmr_dataset_pbhc_contact_maskACCADFemale1Walking_c3dB19-walktopickupbox_posespkl__motion,n8192,n8192,0,complete,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/n8192/metrics.json,assets/results/2026-06-26-homejrhangmr-three-way-wjs/n8192_rollout.npz,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/n8192/mpc_command.npz,,/data_team/junsong/model-based/spider/outputs/g1_wbc_single_motion_homejrhangmr_compare_20260626/logs/n8192_gpu2.log,artifacts.md#n8192,single_motion_full_length;seed0;no_render;json_method=g1_wbc_joint_global;final_run_on_empty_h100_gpu2_with_cuda_visible_devices;samples=8192;horizon=80;control=20;raw artifacts external;versioned rollout asset in assets/results
